,Year,URL
0,1980,https://www.elections.in/parliamentary-constituencies/1980-election-results.html
1,1984,https://www.elections.in/parliamentary-constituencies/1984-election-results.html
2,1989,https://www.elections.in/parliamentary-constituencies/1989-election-results.html
3,1991,https://www.elections.in/parliamentary-constituencies/1991-election-results.html
4,1996,https://www.elections.in/parliamentary-constituencies/1996-election-results.html
5,1998,https://www.elections.in/parliamentary-constituencies/1998-election-results.html
6,1999,https://www.elections.in/parliamentary-constituencies/1999-election-results.html
7,2004,https://www.elections.in/parliamentary-constituencies/2004-election-results.html
8,2009,https://www.elections.in/parliamentary-constituencies/2009-election-results.html
9,2014,https://www.elections.in/parliamentary-constituencies/2014-election-results.html
