,Name,State,CVI SCORE
0,Srikakulam,Andhra Pradesh,4.0
1,Visakhapatnam,Andhra Pradesh,8.0
2,Anakapalli,Andhra Pradesh,8.0
3,Kakinada,Andhra Pradesh,8.0
4,Rajahmundry,Andhra Pradesh,8.0
5,Amalapuram,Andhra Pradesh,8.0
7,Narsapuram,Andhra Pradesh,6.0
8,Eluru,Andhra Pradesh,8.0
9,Machilipatnam,Andhra Pradesh,7.0
10,Vijayawada,Andhra Pradesh,6.0
11,Guntur,Andhra Pradesh,4.0
12,Bapatla,Andhra Pradesh,8.0
13,Narasaraopet,Andhra Pradesh,7.0
14,Ongole,Andhra Pradesh,5.0
15,Nellore,Andhra Pradesh,6.0
17,Tirupati,Andhra Pradesh,4.0
18,Chittoor,Andhra Pradesh,5.0
19,Rajampet,Andhra Pradesh,4.0
20,Hindupur,Andhra Pradesh,9.0
21,Anantapur,Andhra Pradesh,6.0
22,Kurnool,Andhra Pradesh,5.0
24,Nandyal,Andhra Pradesh,5.0
28,Nagarkurnool,Andhra Pradesh,8.0
29,Mahabubnagar,Andhra Pradesh,7.0
30,Hyderabad,Andhra Pradesh,3.0
31,Secunderabad,Andhra Pradesh,4.0
33,Medak,Andhra Pradesh,5.0
34,Nizamabad,Andhra Pradesh,5.0
35,Adilabad,Andhra Pradesh,6.0
37,Peddapalli,Andhra Pradesh,5.0
38,Karimnagar,Andhra Pradesh,5.0
41,Warangal,Andhra Pradesh,6.0
43,Khammam,Andhra Pradesh,5.0
44,Nalgonda,Andhra Pradesh,6.0
45,Arunachal West,Arunachal Pradesh,5.0
46,Arunachal East,Arunachal Pradesh,6.0
47,Gopalganj,Bihar,7.0
48,Siwan,Bihar,5.0
49,Maharajganj,Bihar,4.0
57,Maharajganj,Uttar Pradesh,5.0
61,Hajipur,Bihar,6.0
62,Vaishali,Bihar,4.0
63,Muzaffarpur,Bihar,4.0
64,Sitamarhi,Bihar,6.0
65,Sheohar,Bihar,6.0
66,Madhubani,Bihar,5.0
67,Madhubani,Bihar,6.0
68,Jhanjharpur,Bihar,7.0
69,Darbhanga,Bihar,6.0
70,Samastipur,Bihar,7.0
71,Madhepura,Bihar,6.0
73,Araria,Bihar,5.0
74,Kishanganj,Bihar,5.0
75,Kishanganj,Bihar,7.0
76,Katihar,Bihar,5.0
77,Banka,Bihar,6.0
83,Bhagalpur,Bihar,5.0
85,Khagaria,Bihar,6.0
86,Begusarai,Bihar,5.0
87,Nalanda,Bihar,4.0
89,Arrah,Bihar,7.0
90,Buxar,Bihar,4.0
91,Sasaram,Bihar,5.0
92,Aurangabad,Bihar,7.0
96,Aurangabad,Maharashtra,7.0
100,Jahanabad,Bihar,7.0
101,Nawada,Bihar,8.0
102,Gaya,Bihar,6.0
103,Surendranagar,Gujarat,6.0
104,Jamnagar,Gujarat,2.0
105,Rajkot,Gujarat,2.0
106,Porbandar,Gujarat,3.0
107,Porbandar,Gujarat,2.0
108,Junagadh,Gujarat,4.0
109,Amreli,Gujarat,4.0
110,Bhavnagar,Gujarat,1.0
111,Gandhinagar,Gujarat,1.0
113,Patan,Gujarat,5.0
114,Banaskantha,Gujarat,6.0
115,Banaskantha,Gujarat,7.0
116,Sabarkantha,Gujarat,5.0
118,Anand,Gujarat,4.0
119,Chhota Udaipur,Gujarat,6.0
120,Bharuch,Gujarat,1.0
122,Ambala,Haryana,6.0
123,Kurukshetra,Haryana,7.0
124,Karnal,Haryana,4.0
125,Sonipat,Haryana,8.0
126,Rohtak,Haryana,7.0
130,Faridabad,Haryana,2.0
131,Faridabad,Haryana,4.0
132,Hisar,Haryana,10.0
134,Sirsa,Haryana,7.0
135,Sirsa,Haryana,8.0
136,Shimla,Himachal Pradesh,3.0
137,Mandi,Himachal Pradesh,4.0
138,Kangra,Himachal Pradesh,5.0
139,Hamirpur,Himachal Pradesh,3.0
140,Hamirpur,Himachal Pradesh,4.0
151,Hamirpur,Uttar Pradesh,5.0
152,Hamirpur,Uttar Pradesh,6.0
155,Bidar,Karnataka,3.0
157,Gulbarga,Karnataka,5.0
159,Raichur,Karnataka,5.0
161,Koppal,Karnataka,6.0
162,Bellary,Karnataka,2.0
164,Davanagere,Karnataka,4.0
165,Chitradurga,Karnataka,6.0
166,Tumkur,Karnataka,6.0
167,Kolar,Karnataka,4.0
168,Bangalore North,Karnataka,3.0
169,Bangalore South,Karnataka,2.0
170,Mandya,Karnataka,7.0
171,Chamarajanagar,Karnataka,6.0
172,Mysore,Karnataka,4.0
173,Hassan,Karnataka,5.0
174,Shimoga,Karnataka,4.0
175,Shimoga,Karnataka,5.0
176,Belgaum,Karnataka,4.0
177,Chikkodi,Karnataka,6.0
178,Bagalkot,Karnataka,4.0
179,Bijapur,Karnataka,5.0
180,Kasaragod,Kerala,3.0
181,Ponnani,Kerala,3.0
182,Ernakulam,Kerala,4.0
186,Kottayam,Kerala,4.0
187,Idukki,Kerala,4.0
188,Mavelikkara,Kerala,4.0
189,Morena,Madhya Pradesh,3.0
190,Bhind,Madhya Pradesh,1.0
191,Gwalior,Madhya Pradesh,6.0
192,Gwalior,Madhya Pradesh,4.0
193,Guna,Madhya Pradesh,3.0
195,Sagar,Madhya Pradesh,3.0
196,Sagar,Madhya Pradesh,4.0
197,Khajuraho,Madhya Pradesh,3.0
198,Damoh,Madhya Pradesh,1.0
199,Satna,Madhya Pradesh,4.0
200,Rewa,Madhya Pradesh,7.0
201,Sidhi,Madhya Pradesh,4.0
202,Sidhi,Madhya Pradesh,6.0
203,Shahdol,Madhya Pradesh,4.0
204,Balaghat,Madhya Pradesh,3.0
205,Mandla,Madhya Pradesh,2.0
206,Jabalpur,Madhya Pradesh,3.0
207,Jabalpur,Madhya Pradesh,4.0
208,Chhindwara,Madhya Pradesh,1.0
209,Chhindwara,Madhya Pradesh,3.0
210,Betul,Madhya Pradesh,3.0
212,Hoshangabad,Madhya Pradesh,2.0
213,Bhopal,Madhya Pradesh,1.0
214,Vidisha,Madhya Pradesh,1.0
218,Rajgarh,Madhya Pradesh,5.0
220,Khandwa,Madhya Pradesh,4.0
221,Khargone,Madhya Pradesh,3.0
223,Dhar,Madhya Pradesh,4.0
224,Indore,Madhya Pradesh,1.0
225,Ujjain,Madhya Pradesh,3.0
226,Mandsaur,Madhya Pradesh,2.0
227,Thane,Maharashtra,4.0
231,Nashik,Maharashtra,7.0
232,Dhule,Maharashtra,6.0
233,Nandurbar,Maharashtra,1.0
235,Jalgaon,Maharashtra,3.0
236,Buldhana,Maharashtra,5.0
237,Akola,Maharashtra,4.0
238,Amravati,Maharashtra,7.0
239,Ramtek,Maharashtra,3.0
240,Nagpur,Maharashtra,2.0
241,Chandrapur,Maharashtra,4.0
242,Wardha,Maharashtra,6.0
243,Hingoli,Maharashtra,7.0
244,Nanded,Maharashtra,6.0
246,Parbhani,Maharashtra,5.0
247,Jalna,Maharashtra,4.0
248,Beed,Maharashtra,6.0
249,Latur,Maharashtra,3.0
250,Osmanabad,Maharashtra,5.0
251,Solapur,Maharashtra,5.0
253,Ahmednagar,Maharashtra,5.0
254,Pune,Maharashtra,4.0
255,Baramati,Maharashtra,4.0
259,Satara,Maharashtra,4.0
260,Sangli,Maharashtra,1.0
262,Kolhapur,Maharashtra,4.0
263,Inner Manipur,Manipur,7.0
264,Outer Manipur,Manipur,6.0
265,Tura,Meghalaya,4.0
266,Tura,Meghalaya,2.0
269,Nagaland,Nagaland,6.0
270,Mayurbhanj,Orissa,6.0
272,Balasore,Orissa,5.0
273,Bhadrak,Orissa,4.0
274,Jajpur,Orissa,4.0
275,Kendrapara,Orissa,4.0
277,Cuttack,Orissa,3.0
278,Cuttack,Orissa,4.0
281,Jagatsinghpur,Orissa,5.0
282,Puri,Orissa,4.0
283,Bhubaneswar,Orissa,4.0
284,Aska,Orissa,5.0
288,Koraput,Orissa,2.0
289,Kalahandi,Orissa,6.0
290,Bolangir,Orissa,5.0
291,Sambalpur,Orissa,5.0
292,Dhenkanal,Orissa,6.0
293,Sundargarh,Orissa,4.0
294,Keonjhar,Orissa,5.0
295,Ganganagar,Rajasthan,7.0
296,Bikaner,Rajasthan,5.0
297,Churu,Rajasthan,6.0
299,Jhunjhunu,Rajasthan,7.0
