,State,Constituency
672,Andaman & Nicobar,Andaman And Nicobar Islands
622,Andaman And Nicobar Islands,Andaman And Nicobar Islands
19,Andhra Pradesh,Adilabad
5,Andhra Pradesh,Amalapuram
26,Andhra Pradesh,Anakapalli
16,Andhra Pradesh,Anantapur
12,Andhra Pradesh,Araku
46,Andhra Pradesh,Bapatla
15,Andhra Pradesh,Bhadrachalam
14,Andhra Pradesh,Bhongir
36,Andhra Pradesh,Bobbili
8,Andhra Pradesh,Chevella
44,Andhra Pradesh,Chittoor
0,Andhra Pradesh,Eluru
1,Andhra Pradesh,Guntur
3,Andhra Pradesh,Hanamkonda
9,Andhra Pradesh,Hindupur
37,Andhra Pradesh,Hyderabad
38,Andhra Pradesh,Kadapa
23,Andhra Pradesh,Kakinada
31,Andhra Pradesh,Karimnagar
10,Andhra Pradesh,Khammam
13,Andhra Pradesh,Kurnool
39,Andhra Pradesh,Machilipatnam
2,Andhra Pradesh,Mahabubabad
32,Andhra Pradesh,Mahabubnagar
41,Andhra Pradesh,Malkajgiri
43,Andhra Pradesh,Medak
30,Andhra Pradesh,Miryalguda
45,Andhra Pradesh,Nagarkurnool
4,Andhra Pradesh,Nalgonda
22,Andhra Pradesh,Nandyal
24,Andhra Pradesh,Narasaraopet
25,Andhra Pradesh,Narsapuram
27,Andhra Pradesh,Nellore
7,Andhra Pradesh,Nizamabad
6,Andhra Pradesh,Ongole
47,Andhra Pradesh,Parvathipuram
20,Andhra Pradesh,Peddapalli
35,Andhra Pradesh,Rajahmundry
34,Andhra Pradesh,Rajampet
11,Andhra Pradesh,Secunderabad
33,Andhra Pradesh,Siddipet
18,Andhra Pradesh,Srikakulam
17,Andhra Pradesh,Tenali
42,Andhra Pradesh,Tirupati
21,Andhra Pradesh,Vijayawada
40,Andhra Pradesh,Visakhapatnam
28,Andhra Pradesh,Vizianagaram
29,Andhra Pradesh,Warangal
48,Andhra Pradesh,Zahirabad
49,Arunachal Pradesh,Arunachal East
50,Arunachal Pradesh,Arunachal West
58,Assam,Barpeta
54,Assam,Darrang–Udalguri
59,Assam,Dhubri
62,Assam,Dibrugarh
64,Assam,Diphu
56,Assam,Guwahati
61,Assam,Jorhat
63,Assam,Kaliabor
52,Assam,Karimganj
60,Assam,Kokrajhar
57,Assam,Lakhimpur
55,Assam,Nowgong
53,Assam,Silchar
51,Assam,Sonitpur
118,Bihar,Araria
101,Bihar,Arrah
86,Bihar,Aurangabad
123,Bihar,Bagaha
80,Bihar,Balia
114,Bihar,Banka
93,Bihar,Barh
100,Bihar,Begusarai
92,Bihar,Bettiah
107,Bihar,Bhagalpur
117,Bihar,Bikramganj
71,Bihar,Buxar
112,Bihar,Chatra
78,Bihar,Darbhanga
126,Bihar,Dhanbad
82,Bihar,Dumka
111,Bihar,Gaya
67,Bihar,Giridih
128,Bihar,Godda
97,Bihar,Gopalganj
122,Bihar,Hajipur
88,Bihar,Hazaribagh
