,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
0,Andhra Pradesh,1,Srikakulam,GEN,Yerrannaidu Kinjarapu,M,TDP,373851,Kanithi Viswanadaham,M,INC,276969
1,Andhra Pradesh,2,Parvathipuram,(ST),Dadichiluka Veera Gouri Sankara Rao,M,TDP,304000,Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,290719
2,Andhra Pradesh,3,Bobbili,GEN,Botcha Satyanarayana,M,INC,339768,Aruna Padala,M,TDP,335947
3,Andhra Pradesh,4,Visakhapatnam,GEN,M.V.V.S.Murthy,M,TDP,442036,T.Subbarami Reddy,M,INC,403117
4,Andhra Pradesh,5,Bhadrachalam,(ST),Dumpa Mary Vijaya Kumari,F,TDP,293593,T.Ratnabai,M,INC,256490
5,Andhra Pradesh,6,Anakapalli,GEN,Ganta Srinivasa Rao,M,TDP,392984,Gurunadha Rao Gudivada,M,INC,334520
6,Andhra Pradesh,7,Kakinada,GEN,Mudragada Padmanabham,M,TDP,435811,Thota Subbarao,M,INC,314376
7,Andhra Pradesh,8,Rajahmundry,GEN,Satyanarayana Rao S.B.P.B.K,M,BJP,411956,Chitturi Ravindra,M,INC,351925
8,Andhra Pradesh,9,Amalapuram,(SC),Ganti Mohanachandra Balayogi,M,TDP,368476,Gollapalli Suryarao,M,INC,249597
9,Andhra Pradesh,By Polls (2002),Amalapuram,GEN,Ganti Vijayakumari,F,TDP,341923,J.B.Raju,M,BSP,28263
10,Andhra Pradesh,10,Narsapuram,GEN,Uppalapati Venkata Krishnam Raju,M,BJP,421099,Kanumuru Bapiraju,M,INC,255151
11,Andhra Pradesh,11,Eluru,GEN,Bolla Bulli Ramaiah,M,TDP,435884,Maganti Venkateswara Rao (Babu),M,INC,373653
12,Andhra Pradesh,12,Machilipatnam,GEN,Ambati Brahmanaiah,M,TDP,387533,Kavuru Sambasiva Rao,M,INC,304537
13,Andhra Pradesh,13,Vijayawada,GEN,Gadde Rama Mohan,M,TDP,482968,Upendra Parvathaneni,M,INC,395902
14,Andhra Pradesh,14,Tenali,GEN,Ummareddy Venkateswarlu,M,TDP,339800,P.Shiv Shanker,M,INC,266771
15,Andhra Pradesh,15,Guntur,GEN,Yemparala Venkateswararao,M,TDP,399065,Rayapati Sambasiva Rao,M,INC,358735
16,Andhra Pradesh,16,Bapatla,GEN,D. Rama Naidu,M,TDP,399596,Jesudasu Seelam,M,INC,307139
17,Andhra Pradesh,17,Narasaraopet,GEN,Janardhanareddy Nedurumalli,M,INC,432266,Lal Janbasha S.M,M,TDP,418384
18,Andhra Pradesh,18,Ongole,GEN,Karanam Balarama Krishna Murthy,M,TDP,392840,Sreenivasulu Reddy Magunta,M,INC,370892
19,Andhra Pradesh,19,Nellore,(SC),Rajeswaramma Vukkala,F,TDP,381166,Panabaka  Lakshmi,M,INC,340713
20,Andhra Pradesh,20,Tirupati,(SC),Dr.N.Venkataswamy,M,BJP,386478,Chintha Mohan,M,INC,373981
21,Andhra Pradesh,21,Chittoor,GEN,Noothana Kalva Ramakrishna Reddy,M,TDP,419208,R. Gopinath,M,INC,400570
22,Andhra Pradesh,22,Rajampet,GEN,Gunipati Ramaiah,M,TDP,322107,Annaiahgari Saiprathap,M,INC,294937
23,Andhra Pradesh,23,Cuddapah,GEN,Vivekananda Reddy  Y.S.,M,INC,367833,Kandula Rajamohan Reddy,M,TDP,341236
24,Andhra Pradesh,24,Hindupur,GEN,B.K. Parthasarathi,M,TDP,432575,S. Gangadhar,M,INC,297939
25,Andhra Pradesh,25,Anantapur,GEN,Kalava Srinivasulu,M,TDP,378488,Anantha Venkata Rami Reddy,M,INC,357386
26,Andhra Pradesh,26,Kurnool,GEN,Kambhalapati E. Krishna Murthy,M,TDP,385688,Kotla Vijaya Bhaskara Reddy,M,INC,361201
27,Andhra Pradesh,27,Nandyal,GEN,Bhuma  Nagi Reddy,M,TDP,391655,Gangula Prathapa Reddy,M,INC,319046
28,Andhra Pradesh,28,Nagarkurnool,(SC),Dr.Manda Jagannath,M,TDP,431095,Dr.Mallu Ravi,M,INC,364195
29,Andhra Pradesh,29,Mahabubnagar,GEN,A.P.Jitender Reddy,M,BJP,391588,Dr.Mallikarjun,M,INC,340693
30,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,AIMIM,448165,Baddam Bal Reddy,M,BJP,387344
31,Andhra Pradesh,31,Secunderabad,GEN,Bandaru Dattatraya,M,BJP,506626,Nadendla Bhaskara Rao,M,INC,409000
32,Andhra Pradesh,32,Siddipet,(SC),M. Rajaiah,M,TDP,583346,Yellaiah Nandi,M,INC,429625
33,Andhra Pradesh,33,Medak,GEN,A. Narendra,M,BJP,400244,M. Baga Reddy,M,INC,378161
34,Andhra Pradesh,34,Nizamabad,GEN,Ganga Reddy Gaddam,M,TDP,373260,S.Santosh Reddy,M,INC,369824
35,Andhra Pradesh,35,Adilabad,GEN,Dr. S. Venugopal Chary,M,TDP,390308,Mohd. Sultan Ahmad,M,INC,280585
36,Andhra Pradesh,36,Peddapalli,(SC),Dr.Smt.C. Suguna Kumari,F,TDP,406529,G.Venkat Swamy,M,INC,390640
37,Andhra Pradesh,37,Karimnagar,GEN,Chennamaneni Vidyasagar Rao,M,BJP,398437,Anand Rao Chelimeda,M,INC,379067
38,Andhra Pradesh,38,Hanamkonda,GEN,Chada Suresh Reddy,M,TDP,375285,M.Kamaluddin Ahmed,M,INC,289504
39,Andhra Pradesh,39,Warangal,GEN,Bodakunti Venkateshwarlu,M,TDP,385593,Dr. T. Kalpanadevi,M,INC,372227
40,Andhra Pradesh,40,Khammam,GEN,Renuka Chowdhury,F,INC,328596,Baby Swarna Kumari Maddineni,M,TDP,320198
41,Andhra Pradesh,41,Nalgonda,GEN,Gutha Sukender Reddy,M,TDP,427505,Kanukula Janardhan Reddy,M,INC,347770
42,Andhra Pradesh,42,Miryalguda,GEN,Jaipal Reddy Sudini,M,INC,401437,Rangashai Reddy Yadevelli,M,TDP,349360
43,Arunachal Pradesh,1,Arunachal West,GEN,Jarbom Gamlin,M,INC,131483,Omak Apang,M,AC,70760
44,Arunachal Pradesh,2,Arunachal East,GEN,Wangcha Rajkumar,M,INC,110792,Tapir Gao,M,BJP,69389
45,Assam,1,Karimganj,(SC),Nepal Chandra Das,M,INC,336799,Parimal Suklabaidya,M,BJP,294540
46,Assam,2,Silchar,GEN,Sontosh Mohan Dev,M,INC,329256,Kabindra Purkayastha,M,BJP,221504
47,Assam,3,Autonomous District,(ST),Dr Jayanta Rongpi,M,CPI(ML)(L),208789,Biren Singh Engti,M,INC,148914
48,Assam,4,Dhubri,GEN,Abdul Hamid,M,INC,279812,DR Pannalal Oswal,M,BJP,258472
49,Assam,5,Kokrajhar,(ST),Sansuma Khunggur Bwismuthiary,M,IND,334367,Theodore Kisku Rapaz,M,URMCA,246942
50,Assam,6,Barpeta,GEN,A F Golam Osmani,M,INC,325838,Ramani Kanta Deka,M,BJP,236476
51,Assam,7,Gauhati,GEN,Bijoya Chakravarty,F,BJP,384771,Bhubaneswar Kalita,M,INC,309533
52,Assam,8,Mangaldoi,GEN,Madhab Rajbangshi,M,INC,283749,Munindra Singha Lahkar,M,BJP,267315
53,Assam,9,Tezpur,GEN,Moni Kumar Subba,M,INC,230884,Ram Prasad Sarmah,M,BJP,205178
54,Assam,10,Nowgong,GEN,Rajen Gohain,M,BJP,328861,Nripen Goswami,M,INC,293433
55,Assam,11,Kaliabor,GEN,Tarun Gogoi,M,INC,373542,Keshab Mahanta,M,AGP,206150
56,Assam,By Polls (2002),Kaliabor,GEN,Dip Gogoi,M,INC,300613,Thagi Gogoi,M,BJP,132480
57,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,M,INC,304690,Janaki Nath Handique,M,BJP,205330
58,Assam,13,Dibrugarh,GEN,Paban Singh Ghatowar,M,INC,270863,Ajit  Chaliha,M,BJP,203747
59,Assam,14,Lakhimpur,GEN,Ranee Narah,F,INC,255925,Sarbananda Sonowal,M,AGP,201402
60,Bihar,1,Bagaha,(SC),Mahendra Baitha,M,JD(U),261498,Purnamasi Ram,M,RJD,206747
61,Bihar,2,Bettiah,GEN,Dr Madan Prasad Jaiswal,M,BJP,343027,Mataur Rahman,M,RJD,303377
62,Bihar,3,Motihari,GEN,Radha Mohan Singh,M,BJP,338696,Rama Devi,M,RJD,317026
63,Bihar,4,Gopalganj,GEN,Raghunath Jha,M,JD(U),365107,Kali Prasad Pandey,M,RJD,328983
64,Bihar,5,Siwan,GEN,M Sahabuddin,M,RJD,385069,Amar Nath Yadav,M,CPI(ML)(L),255229
65,Bihar,6,Maharajganj,GEN,Prabhunath Singh,M,JD(U),398475,Mahachandra Prasad Singh,M,INC,294412
66,Bihar,7,Chapra,GEN,Rajiv Pratap Rudi,M,BJP,390477,Hira Lal Rai,M,RJD,346924
67,Bihar,8,Hajipur,(SC),Ram Vilas Paswan,M,JD(U),434609,Ramai Ram,M,RJD,329105
68,Bihar,9,Vaishali,GEN,Raghuvansh Prasad Singh,M,RJD,308458,Lovely Anand,M,BPSP,263066
69,Bihar,10,Muzaffarpur,GEN,Captain Jai Na. Pd. Nishad,M,JD(U),363820,Mahendra Sahni,M,RJD,303100
