,State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votes,Runner-Up,Party,Votes
0,Andaman & Nicobar,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,90969,Kuldeep Rai Sharma,INC,83157
1,Andhra Pradesh,1,Araku,(ST),Kothapalli Geetha,YSRC,413191,Gummidi Sandhyarani,TDP,321793
2,Andhra Pradesh,2,Srikakulam,GEN,Rammohan Naidu Kinjarapu,TDP,556163,Reddy Shanthi,YSRC,428591
3,Andhra Pradesh,3,Vizianagaram,GEN,Ashok Gajapathi Raju Pusapati,TDP,536549,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,YSRC,429638
4,Andhra Pradesh,4,Visakhapatnam,GEN,Kambhampati Hari Babu,BJP,566832,Y.S Vijayamma,YSRC,476344
5,Andhra Pradesh,5,Anakapalli,GEN,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463,Gudivada Amarnadh,YSRC,520531
6,Andhra Pradesh,6,Kakinada,GEN,Thota Narasimham,TDP,514402,Chalamalasetty Sunil,YSRC,510971
7,Andhra Pradesh,7,Amalapuram,(SC),Dr Pandula Ravindra Babu,TDP,594547,Pinipe Viswarupu,YSRC,473971
8,Andhra Pradesh,8,Rajahmundry,GEN,Murali Mohan Maganti,TDP,630573,Boddu Venkataramana Chowdary,YSRC,463139
9,Andhra Pradesh,9,Narsapuram,GEN,Gokaraju Ganga Raju,BJP,540306,Vanka Ravindranath,YSRC,454955
10,Andhra Pradesh,10,Eluru,GEN,Maganti Venkateswara Rao (Babu),TDP,623471,Thota Chandra Sekhar,YSRC,521545
11,Andhra Pradesh,11,Machilipatnam,GEN,Konakalla Narayana Rao,TDP,587280,Kolusu Partha Sarathy,YSRC,506223
12,Andhra Pradesh,12,Vijayawada,GEN,Kesineni Srinivas,TDP,592696,Koneru Rajendra Prasad,YSRC,517834
13,Andhra Pradesh,13,Guntur,GEN,Jayadev Galla,TDP,618417,Balashowry Vallabhaneni,YSRC,549306
14,Andhra Pradesh,14,Narasaraopet,GEN,Sambasiva Rao Rayapati,TDP,632464,Ayodhya Ramireddy Alla,YSRC,597184
15,Andhra Pradesh,15,Bapatla,(SC),Malyadri Sriram,TDP,578145,Varikuti Amruthapani,YSRC,545391
16,Andhra Pradesh,16,Ongole,GEN,Y.V.Subba Reddy,YSRC,589960,Magunta Sreenivasulu Reddy,TDP,574302
17,Andhra Pradesh,17,Nandyal,GEN,S.P.Y Reddy,YSRC,622411,N.Md.Farook,TDP,516645
18,Andhra Pradesh,18,Kurnool,GEN,Butta Renuka,YSRC,472782,B.T. Naidu,TDP,428651
19,Andhra Pradesh,19,Anantapur,GEN,J.C. Divakar Reddi,TDP,606509,Anantha Venkataramireddy,YSRC,545240
