,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
0,1,Andaman and Nicobar Islands,GEN,Kuldeep Rai Sharma,INC,"95,308 (45.95%)",Vishal Jolly,Bharatiya Janata Party,"93,901 (45.28%)","1,407",0.67%,Andaman and Nicobar Islands
1,1,Araku,(ST),Goddeti Madhavi,YSRCP,"5,62,190 (52.14%)",Kishore Chandra Deo,TDP,"3,38,101 (31.36%)","2,24,089",20.78%,Andhra Pradesh
2,2,Srikakulam,GEN,Ram Mohan Naidu Kinjarapu,TDP,"5,34,544 (45.91%)",Duvvada Srinivas,YSRCP,"5,27,891 (45.34%)","6,653",0.57%,Andhra Pradesh
3,3,Vizianagaram,GEN,Bellana Chandra Sekhar,YSRCP,"5,78,418 (47.32%)",Ashok Gajapathi Raju,TDP,"5,30,382 (43.39%)","48,036",3.93%,Andhra Pradesh
4,4,Visakhapatnam,GEN,M. V. V. Satyanarayana,YSRCP,"4,36,906 (35.24%)",Bharat Mathukumilli,TDP,"4,32,492 (34.88%)","4,414",0.36%,Andhra Pradesh
5,5,Anakapalli,GEN,Beesetti Venkata Satyavathi,YSRCP,"5,86,226 (47.26%)",Aadari Anand,TDP,"4,97,034 (40.07%)","89,192",7.19%,Andhra Pradesh
6,6,Kakinada,GEN,Vanga Geetha,YSRCP,"5,37,630 (43.47%)",Chalamalasetti Sunil,TDP,"5,11,892 (41.39%)","25,738",2.08%,Andhra Pradesh
7,7,Amalapuram,(SC),Chinta Anuradha,YSRCP,"4,85,958 (39.34%)",Ganti Harish,TDP,"4,46,163 (36.12%)","39,966",3.22%,Andhra Pradesh
8,8,Rajahmundry,GEN,Margani Bharat,YSRCP,"5,82,024 (46.54%)",Maganti Rupa,TDP,"4,60,390 (36.82%)","1,21,634",9.72%,Andhra Pradesh
9,9,Narasapuram,GEN,Raghu Rama Krishna Raju,YSRCP,"4,49,234 (38.1%)",Vetukuri Venkata Siva Rama Raju,TDP,"4,16,558 (35.33%)","31,909",2.77%,Andhra Pradesh
10,10,Eluru,GEN,Kotagiri Sridhar,YSRCP,"6,76,809 (50.8%)",Maganti Venkateswara Rao,TDP,"5,10,884 (38.35%)","1,65,925",12.45%,Andhra Pradesh
11,11,Machilipatnam,GEN,Vallabhaneni Balasouri,YSRCP,"5,72,850 (45.99%)",Konakalla Narayana Rao,TDP,"5,12,612 (41.16%)","60,141",4.83%,Andhra Pradesh
12,12,Vijayawada,GEN,Kesineni Srinivas,TDP,"5,75,498 (45.04%)",Prasad V. Potluri,YSR Congress Party,"5,66,772 (44.36%)","8,726",0.69%,Andhra Pradesh
13,13,Guntur,GEN,Galla Jayadev,TDP,"5,87,918 (43.5%)",Modugula Venugopala Reddy,YSR Congress Party,"5,83,713 (43.19%)","4,205",0.31%,Andhra Pradesh
14,14,Narasaraopet,GEN,Lavu Sri Krishna Devarayalu,YSRCP,"7,45,557 (51.75%)",Rayapati Sambasiva Rao,TDP,"5,91,555 (41.06%)","1,53,978",10.69%,Andhra Pradesh
15,15,Bapatla,(SC),Nandigam Suresh,YSRCP,"5,98,257 (47.11%)",Malyadri Sriram,TDP,"5,82,192 (45.84%)","16,065",1.27%,Andhra Pradesh
16,16,Ongole,GEN,Magunta Sreenivasulu Reddy,YSRCP,"7,39,202 (55%)",Sidda Raghava Rao,TDP,"5,24,351 (39.01%)","2,14,851",15.99%,Andhra Pradesh
17,17,Nandyal,GEN,Pocha Brahmananda Reddy,YSRCP,"7,20,888 (55.46%)",Mandra Sivananda Reddy,TDP,"4,70,769 (36.22%)","2,50,119",19.24%,Andhra Pradesh
18,18,Kurnool,GEN,Sanjeev Kumar,YSRCP,"6,05,462 (50.85%)",Kotla Jayasurya Prakasha Reddy,TDP,"4,56,395 (38.33%)","1,48,889",12.52%,Andhra Pradesh
19,19,Anantapur,GEN,Tallari Rangaiah,YSRCP,"6,95,208 (51.57%)",JC Pavan Reddy,TDP,"5,53,780 (41.08%)","1,41,428",10.49%,Andhra Pradesh
20,20,Hindupur,GEN,Kuruva Gorantla Madhav,YSRCP,"7,06,602 (52.73%)",Kristappa Nimmala,TDP,"5,65,854 (42.33%)","1,40,748",10.4%,Andhra Pradesh
21,21,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,"7,83,499 (63.41%)",Adi Narayana Reddy,TDP,"4,02,773 (32.6%)","3,80,976",30.81%,Andhra Pradesh
22,22,Nellore,GEN,Adala Prabhakara Reddy,YSRCP,"6,83,830 (53.04%)",Beeda Masthan Rao,TDP,"5,35,259 (41.52%)","1,48,571",11.52%,Andhra Pradesh
23,23,Tirupati,(SC),Balli Durga Prasad Rao,YSRCP,"7,22,877 (54.91%)",Panabaka Lakshmi,TDP,"4,94,501 (37.56%)","2,28,376",17.35%,Andhra Pradesh
24,24,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,"7,02,211 (57.27%)",D K Satyaprabha,TDP,"4,33,927 (35.39%)","2,68,284",21.88%,Andhra Pradesh
25,25,Chittoor,(SC),N. Reddeppa,YSRCP,"6,86,792 (52.04%)",Naramalli Sivaprasad,TDP,"5,49,521 (41.64%)","1,37,271",10.4%,Andhra Pradesh
26,1,Arunachal West,(ST),Kiren Rijiju,Bharatiya Janata Party,"2,25,796 (62.02%)",Nabam Tuki,INC,"50,953 (14%)","1,74,843",38.02%,Arunachal Pradesh
27,2,Arunachal East,(ST),Tapir Gao,Bharatiya Janata Party,"1,53,883 (52.04%)",Lowangcha Wanglat,INC,"83,935 (28.38%)","69,948",23.66%,Arunachal Pradesh
28,1,Karimganj,(SC),Kripanath Mallah,Bharatiya Janata Party,"4,73,046",Radheshyam Biswas,All India United Democratic Front,"4,34,657","38,389",3.62%,Assam
29,2,Silchar,GEN,Rajdeep Roy,Bharatiya Janata Party,"4,99,414",Sushmita Dev,INC,"4,17,818","81,596",8.60%,Assam
30,3,Autonomous District,(ST),Horen Sing Bey,Bharatiya Janata Party,"3,81,316",Biren Singh Engti,INC,"1,41,690","2,39,626",38.79%,Assam
31,4,Dhubri,GEN,Badruddin Ajmal,All India United Democratic Front,"7,18,764",Abu Taher Bepari,INC,"4,92,506","2,26,258",13.43%,Assam
32,5,Kokrajhar,(ST),Naba Kumar Sarania,Independent,"4,84,560",Pramila Rani Brahma,Bodoland People's Front,"4,46,774","37,786",2.55%,Assam
33,6,Barpeta,GEN,Abdul Khaleque,INC,"6,45,173",Kumar Deepak Das,Asom Gana Parishad,"5,04,866","1,40,307",9.62%,Assam
34,7,Gauhati,GEN,Queen Oja,Bharatiya Janata Party,"10,08,936",Bobita Sharma,INC,"6,63,330","3,45,606",19.59%,Assam
35,8,Mangaldoi,GEN,Dilip Saikia,Bharatiya Janata Party,"7,35,469",Bhubaneswar Kalita,INC,"5,96,924","1,38,545",9.20%,Assam
36,9,Tezpur,GEN,Pallab Lochan Das,Bharatiya Janata Party,"6,84,166",M.G.V.K. Bhanu,INC,"4,41,325","2,42,841",20.40%,Assam
37,10,Nowgong,GEN,Pradyut Bordoloi,INC,"7,39,724",Rupak Sharma,Bharatiya Janata Party,"7,22,972","16,752",1.13%,Assam
38,11,Kaliabor,GEN,Gourav Gogoi,INC,"7,86,092",Moni Madhab Mahanta,Asom Gana Parishad,"5,76,098","2,09,994",14.74%,Assam
39,12,Jorhat,GEN,Topon Kumar Gogoi,Bharatiya Janata Party,"5,43,288",Sushanta Borgohain,INC,"4,60,635","82,653",7.81%,Assam
40,13,Dibrugarh,(GEN),Rameswar Teli,Bharatiya Janata Party,"6,59,583",Paban Singh Ghatowar,INC,"2,95,017","3,64,566",35.90%,Assam
41,14,Lakhimpur,GEN,Pradan Baruah,Bharatiya Janata Party,"7,76,406",Anil Borgohain,INC,"4,25,855","3,50,551",27.31%,Assam
42,1,Valmiki Nagar,GEN,Baidyanath Prasad Mahto,Janata Dal (United),"6,02,660",Shashwat Kedar,INC,"2,48,044","3,54,616",34.36%,Bihar
43,2,Paschim Champaran,GEN,Sanjay Jaiswal,Bharatiya Janata Party,"6,03,706",Brijesh Kumar Kushwaha,Rashtriya Lok Samta Party,"3,09,800","2,93,906",29.02%,Bihar
