,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year,Party_clean
0,0,Andhra Pradesh,1,Adilabad,ST,Ramesh Rathod,M,TDP,372268,Kotnak Ramesh,M,INC,257181,115087,2009,TDP
1,1,Andhra Pradesh,2,Peddapalli,SC,Dr. Gaddam Vivekanand,M,INC,313748,Gomasa Srinivas,M,TRS,264731,49017,2009,INC
2,2,Andhra Pradesh,3,Karimnagar,GEN,Ponnam Prabhakar,M,INC,317927,Vinod Kumar Boinapally,M,TRS,267684,50243,2009,INC
3,3,Andhra Pradesh,4,Nizamabad,GEN,Madhu Goud Yaskhi,M,INC,296504,Bigala Ganesh Gupta,M,TRS,236114,60390,2009,INC
4,4,Andhra Pradesh,5,Zahirabad,GEN,Suresh Kumar Shetkar,M,INC,395767,Syed Yousuf Ali,M,TRS,378360,17407,2009,INC
5,5,Andhra Pradesh,6,Medak,GEN,Smt. M. Vijaya Shanthi,F,TRS,388839,Narendranath .C,M,INC,382762,6077,2009,TRS
6,6,Andhra Pradesh,7,Malkajgiri,GEN,Sathyanarayana Sarvey,M,INC,388368,Bheemsen.T,M,TDP,295042,93326,2009,INC
7,7,Andhra Pradesh,8,Secunderabad,GEN,M. Anjan Kumar Yadav,M,INC,340549,Bandaru Dattatreya,M,BJP,170382,170167,2009,INC
8,8,Andhra Pradesh,9,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,308061,Zahid Ali Khan,M,TDP,194196,113865,2009,AIMIM
9,9,Andhra Pradesh,10,Chelvella,GEN,Jaipal Sudini Reddy,M,INC,420807,A.P.Jithender Reddy,M,TDP,402275,18532,2009,INC
10,10,Andhra Pradesh,11,Mahabubnagar,GEN,Kalva Kuntla Chandrasekhar Rao,M,TRS,366569,Devarakonda Vittal Rao,M,INC,346385,20184,2009,TRS
11,11,Andhra Pradesh,12,Nagarkurnool,SC,Dr. M. Jagannath,M,INC,422745,Guvvala Balaraju,M,TRS,374978,47767,2009,INC
12,12,Andhra Pradesh,13,Nalgonda,GEN,Sukender Reddy Gutha,M,INC,493849,Suravaram Sudhakar Reddy,M,CPI,340867,152982,2009,INC
