,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes,State
0,Srikakulam,GEN,Kinjarapu Ram Mohan Naidu,TDP,61,754328,Perada Tilak,YSRCP,34,426427,26,327901,Andhra Pradesh
1,Vizianagaram,GEN,Appalanaidu Kalisetti,TDP,57,743113,Bellana Chandra Sekhar,YSRCP,38,493762,19,249351,Andhra Pradesh
2,Visakhapatnam,GEN,Mathukumilli Bharat,TDP,65,907467,Botsa Jhansi Lakshmi,YSRCP,29,403220,36,504247,Andhra Pradesh
3,Anakapalli,GEN,C. M. Ramesh,BJP,57,762069,Budi Mutyala Naidu,YSRCP,35,465539,22,296530,Andhra Pradesh
4,Kakinada,GEN,Tangella Uday Srinivas,JSP,54,729699,Chalamalasetti Sunil,YSRCP,37,500208,17,229491,Andhra Pradesh
5,Amalapuram,SC,Ganti Harish Madhur,TDP,61,796981,Rapaka Vara Prasada Rao,YSRCP,34,454785,26,342196,Andhra Pradesh
6,Rajahmundry,GEN,Daggubati Purandeswari,BJP,54,726515,Guduri Srinivas,YSRCP,36,487376,18,239139,Andhra Pradesh
7,Narsapuram,GEN,Bhupathi Raju Srinivasa Varma,BJP,57,707343,Guduri Umabala,YSRCP,34,430541,22,276802,Andhra Pradesh
8,Eluru,GEN,Putta Mahesh Yadav,TDP,54,746351,Karumuri Sunilkumar Yadav,YSRCP,40,564494,13,181857,Andhra Pradesh
9,Machilipatnam,GEN,Vallabhaneni Balashowry,JSP,55,724439,Simhadri Chandrasekhar Rao,YSRCP,38,501260,17,223179,Andhra Pradesh
10,Vijayawada,GEN,Kesineni Sivanath,TDP,58,794154,Kesineni Srinivas,YSRCP,37,512069,20,282085,Andhra Pradesh
11,Guntur,GEN,Chandra Sekhar Pemmasani,TDP,60,864948,Kilari Venkata Rosaiah,YSRCP,36,520253,24,344695,Andhra Pradesh
12,Narasaraopet,GEN,Lavu Sri Krishna Devarayalu,TDP,53,807996,Poluboina Anilkumar Yadav,YSRCP,43,648267,10,159729,Andhra Pradesh
13,Bapatla,SC,Krishna Prasad Tenneti,TDP,55,717493,Nandigam Suresh,YSRCP,39,509462,15,208031,Andhra Pradesh
14,Ongole,GEN,Magunta Sreenivasulu Reddy,TDP,49,701894,Chevireddy Bhaskar Reddy,YSRCP,45,651695,3,50199,Andhra Pradesh
15,Nandyal,GEN,Byreddy Shabari,TDP,49,701131,Pocha Brahmananda Reddy,YSRCP,41,589156,7,111975,Andhra Pradesh
16,Kurnool,GEN,Bastipati Nagaraju Panchalingala,TDP,49,658914,B. Y. Ramaiah,YSRCP,41,547616,8,111298,Andhra Pradesh
17,Anantapur,GEN,Ambica G Lakshminarayana Valmiki,TDP,53,768245,Malagundla Sankaranarayana,YSRCP,40,579690,13,188555,Andhra Pradesh
18,Hindupur,GEN,B. K. Parthasarathi,TDP,51,725534,J. Shantha,YSRCP,41,593107,9,132427,Andhra Pradesh
19,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,45,605143,Chadipiralla Bhupesh Reddy,TDP,41,542448,4,62995,Andhra Pradesh
20,Nellore,GEN,Vemireddy Prabhakar Reddy,TDP,55,766202,V. Vijaysai Reddy,YSRCP,37,520300,17,245902,Andhra Pradesh
21,Tirupati,SC,Maddila Gurumoorthy,YSRCP,46,632228,Velagapalli Varaprasad Rao,BJP,44,617659,1,14569,Andhra Pradesh
22,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,48,644844,Kiran Kumar Reddy,BJP,42,568773,5,76071,Andhra Pradesh
23,Chittoor,SC,Daggumalla Prasada Rao,TDP,54,778071,N. Reddeppa,YSRCP,39,557592,15,220479,Andhra Pradesh
24,Arunachal East,ST,Tapir Gao,BJP,45,145581,Bosiram Siram,INC,35,115160,9,30421,Arunachal Pradesh
25,Dhubri,GEN,Rakibul Hussain,INC,60,1471885,Mohammed Badruddin Ajmal,AIUDF,18,459409,41,1012476,Assam
26,Barpeta,GEN,Phani Bhusan Choudhury,AGP,51,860113,Deep Bayan,INC,37,637762,13,222351,Assam
27,Darrang–Udalguri,GEN,Dilip Saikia,BJP,47,868387,Madhab Rajbangshi,INC,29,539375,18,329012,Assam
28,Guwahati,GEN,Bijuli Kalita Medhi,BJP,56,894887,Mira Borthakur Goswami,INC,40,643797,15,251090,Assam
29,Diphu,ST,Amarsing Tisso,BJP,49,334620,J.I. Kathar,IND,27,187017,22,147603,Assam
30,Karimganj,GEN,Kripanath Mallah,BJP,47,545093,Hafiz Rashid Ahmed Choudhury,INC,45,526733,1,18360,Assam
31,Silchar,SC,Parimal Suklabaidya,BJP,59,652405,Surya Kanta Sarkar,INC,35,388094,24,264311,Assam
32,Nowgong,GEN,Pradyut Bordoloi,INC,50,788850,Suresh Borah,BJP,37,576619,13,212231,Assam
33,Kaziranga,GEN,Kamakhya Prasad Tasa,BJP,55,897043,Roselina Tirkey,INC,39,648096,15,248947,
34,Sonitpur,GEN,Ranjit Dutta,BJP,60,775788,Premlal Ganju,INC,32,414380,28,361408,Assam
35,Lakhimpur,GEN,Pradan Baruah,BJP,54,663122,Uday Shankar Hazarika,INC,38,461865,16,201257,Assam
36,Dibrugarh,GEN,Sarbananda Sonowal,BJP,54,693762,Lurinjyoti Gogoi,AJP,32,414441,21,279321,Assam
37,Jorhat,GEN,Gaurav Gogoi,INC,54,751771,Topon Kumar Gogoi,BJP,43,607378,10,144393,Assam
38,Paschim Champaran,GEN,Sanjay Jaiswal,BJP,53,580421,Madan Mohan Tiwari,INC,40,443853,12,136568,Bihar
39,Purvi Champaran,GEN,Radha Mohan Singh,BJP,50,542193,Dr. Rajesh Kumar,VIP,42,453906,8,88287,Bihar
40,Sheohar,GEN,Lovely Anand,JD(U),45,476612,Ritu Jaiswal,RJD,42,447469,2,29143,Bihar
41,Sitamarhi,GEN,Devesh Chandra Thakur,JD(U),47,515719,Arjun Ray,RJD,42,464363,4,51356,Bihar
42,Madhubani,GEN,Ashok Kumar Yadav,BJP,53,553428,Mohammad Ali Ashraf Fatmi,RJD,39,401483,14,151945,Bihar
43,Jhanjharpur,GEN,Ramprit Mandal,JD(U),48,533032,Suman Kumar Mahaseth,VIP,31,348863,16,184169,Bihar
44,Supaul,GEN,Dileshwar Kamait,JD(U),48,595038,Chandrahas Chaupal,RJD,34,425235,13,169803,Bihar
45,Araria,GEN,Pradeep Kumar Singh,BJP,47,600146,Mohammed Shahnawaz Alam,RJD,46,580052,1,20094,Bihar
46,Kishanganj,GEN,Mohammad Jawed,INC,35,402850,Mujahid Alam,JD(U),29,343158,5,59692,Bihar
47,Katihar,GEN,Tariq Anwar,INC,48,567092,Dulal Chandra Goswami,JD(U),44,517229,4,49863,Bihar
48,Purnia,GEN,Pappu Yadav,Independent,47,567556,Santosh Kumar,JD(U),45,543709,1,23847,Bihar
49,Madhepura,GEN,Dinesh Chandra Yadav,JD(U),52,640649,Da Kumar Chandradeep,RJD,38,466115,14,174534,Bihar
50,Darbhanga,GEN,Gopal Jee Thakur,BJP,55,566630,Lalit Kumar Yadav,RJD,37,388474,17,178156,Bihar
51,Muzaffarpur,GEN,Raj Bhushan Choudhary,BJP,55,619749,Ajay Nishad,INC,34,384822,21,234927,Bihar
52,Vaishali,GEN,Veena Devi,LJP(RV),48,567043,Vijay Kumar Shukla,RJD,40,477409,7,89634,Bihar
53,Gopalganj,SC,Alok Kumar Suman,JD(U),48,511866,Prem Nath Chanchal Alias Chanchal Paswan,VIP,36,384686,11,127180,Bihar
54,Siwan,GEN,Vijay Lakshmi Devi,JD(U),38,386508,Hena Shahab,Independent,29,293651,9,92857,Bihar
55,Maharajganj,GEN,Janardan Singh Sigriwal,BJP,52,529533,Aakash Kumar Singh,INC,42,426882,10,102651,Uttar Pradesh
56,Saran,GEN,Rajiv Pratap Rudy,BJP,46,471752,Rohini Acharya,RJD,44,458091,1,13661,Bihar
57,Hajipur,SC,Chirag Paswan,LJP(RV),53,615718,Shiv Chandra Ram,RJD,38,445613,14,170105,Bihar
58,Ujiarpur,GEN,Nityanand Rai,BJP,49,515965,Alok Kumar Mehta,RJD,43,455863,5,60102,Bihar
59,Samastipur,SC,Shambhavi,LJP(RV),52,579786,Sunny Hazari,INC,35,392535,17,187251,Bihar
60,Begusarai,GEN,Giriraj Singh,BJP,50,649331,Abdhesh Kumar Roy,CPI,43,567851,6,81480,Bihar
61,Khagaria,GEN,Rajesh Verma,LJP(RV),50,538657,Sanjay Kumar,CPI,35,377526,15,161131,Bihar
62,Bhagalpur,GEN,Ajay Kumar Mandal,JD(U),50,536031,Ajeet Sharma,INC,40,431163,9,104868,Bihar
63,Banka,GEN,Giridhari Yadav,JD(U),49,506678,Jai Prakash Narayan Yadav,RJD,39,402834,10,103834,Bihar
64,Munger,GEN,Rajeev Ranjan Singh Alias Lalan Singh,JD(U),48,550146,Kumari Anita,RJD,41,469276,7,80870,Bihar
65,Nalanda,GEN,Kaushalendra Kumar,JD(U),48,559422,Sandeep Saurav,CPI,34,390308,14,169114,Bihar
66,Patna Sahib,GEN,Ravi Shankar Prasad,BJP,54,588270,Anshul Avijit,INC,40,434424,14,153846,Bihar
67,Pataliputra,GEN,Misha Bharti,RJD,49,613283,Ram Kripal Yadav,BJP,42,528109,6,85174,Bihar
68,Arrah,GEN,Sudama Prasad,CPI,48,529382,R. K. Singh,BJP,42,469574,5,59808,Bihar
