,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,Andhra Pradesh,1,Srikakulam,GEN,Rajagopalarao Boddepalli,M,INC(I),197336,Gouthu Latchanna,M,JNP(S),118347,78989,1980
1,Andhra Pradesh,2,Parvathipuram,ST,K.C.Suryanarayana Deo Vyricherla,M,INC(U),173179,Narsimha Rao Viswasrai,M,INC(I),158379,14800,1980
2,Andhra Pradesh,3,Bobbili,GEN,P.V.Gajapathi Raju,M,INC(I),189163,Gedela Prasada Rao,M,JNP,51037,138126,1980
3,Andhra Pradesh,4,Visakhapatnam,GEN,Appalaswamy Kommuru,M,INC(I),206581,Bhattam Srirama Murthy,M,INC(U),171946,34635,1980
4,Andhra Pradesh,5,Bhadrachalam,ST,B.Radhabai Ananda Rao,F,INC(I),147534,Karam Chandraiah,M,CPI,79208,68326,1980
5,Andhra Pradesh,6,Anakapalli,GEN,Appala Naidu S.R.A.S,M,INC(I),178139,Anand Gajapathi Raju Pusapati,M,JNP(S),149016,29123,1980
6,Andhra Pradesh,7,Kakinada,GEN,Sanjeevi Rao M.S.,F,INC(I),242901,Vaddi Mutyala Rao,M,JNP,79924,162977,1980
7,Andhra Pradesh,8,Rajahmundry,GEN,S.B.P.Pattabhi Rama Rao,M,INC(I),249377,Gadam Kamaladevi,M,INC(U),130886,118491,1980
8,Andhra Pradesh,9,Amalapuram,SC,Kusuma Krishnamurthi,F,INC(I),244283,Iswari Bai,F,JNP,123193,121090,1980
9,Andhra Pradesh,10,Narsapuram,GEN,Alluri Subhaschandra Bose,M,INC(I),272124,Uddaraju Ramam,M,CPM,114156,157968,1980
10,Andhra Pradesh,11,Eluru,GEN,Chittoori Subbarao Chowdary,M,INC(I),266805,K.Suryanarayana,M,JNP,83470,183335,1980
11,Andhra Pradesh,12,Machilipatnam,GEN,Ankineedu Maganti,M,INC(I),249444,Buragadda Niranjana Rao,M,JNP,115108,134336,1980
12,Andhra Pradesh,13,Vijayawada,GEN,Vidya Chennupati,M,INC(I),240622,K.L.Rao,M,JNP,141920,98702,1980
13,Andhra Pradesh,14,Tenali,GEN,Meduri Nageswara Rao,M,INC(I),214807,Lavu Balagangadhara Rao,M,CPM,144457,70350,1980
14,Andhra Pradesh,15,Guntur,GEN,N. G. Ranga,M,INC(I),252961,K. Sadasiva Rao,M,JNP(S),95625,157336,1980
15,Andhra Pradesh,16,Bapatla,GEN,Ankineedu Prasada Rao Pamulapati,M,INC(I),258116,Sambaiah Pallaprolu,M,JNP(S),106375,151741,1980
16,Andhra Pradesh,17,Narasaraopet,GEN,K. Bramhananda Reddy,M,INC(I),238854,Popuri Brahmanandam,M,IND,154558,84296,1980
17,Andhra Pradesh,18,Ongole,GEN,Venkata Reddi Puli,F,INC(I),266831,A.Bhakthavastala Reddy,M,JNP,115656,151175,1980
