,State,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,Andhra Pradesh,Srikakulam,GEN,Kinjarapu Yerrannaidu,M,TDP,234278,Jaya Krishna Mandamuri,M,NTR TDP(LP),199700,34578,1996
1,Andhra Pradesh,Parvathipuram,ST,Pradeep Kumar Dev Vyricherla,M,INC,231188,Viswasarai Narasimha Rao,M,TDP,222900,8288,1996
2,Andhra Pradesh,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,276298,Botcha Satyanarayana,M,INC,255331,20967,1996
3,Andhra Pradesh,Visakhapatnam,GEN,T. Subbarami Reddi,M,INC,365700,Ananda Gajapathi Raju Poosapati,M,TDP,358241,7459,1996
4,Andhra Pradesh,Bhadrachalam,ST,Sode Ramaiah,M,CPI,245214,K Kamala Kumari,M,INC,217806,27408,1996
5,Andhra Pradesh,Anakapalli,GEN,Ayyanna Paurudu Chintakayala,M,TDP,327290,Konathala Ramakrishna,M,INC,277118,50172,1996
6,Andhra Pradesh,Kakinada,GEN,Gopalakrishna Thota,M,TDP,308480,Thota Subba Rao,M,INC,269981,38499,1996
7,Andhra Pradesh,Rajahmundry,GEN,Chitturi Ravindra,M,INC,353861,Chundru Srihari Rao,M,TDP,258695,95166,1996
8,Andhra Pradesh,Amalapuram,SC,K.S.R Murthy,M,INC,245477,Balayogi G.M.C.,M,TDP,216346,29131,1996
9,Andhra Pradesh,Narsapuram,GEN,Kothapalli Subbarayudu (Pedababu),M,TDP,304536,Kanumuru Bapiraju,M,INC,286910,17626,1996
10,Andhra Pradesh,Eluru,GEN,Bolla Buli Ramaiah,M,TDP,333167,Maganti Venkateswara Rao(Babu),M,INC,331532,1635,1996
11,Andhra Pradesh,Machilipatnam,GEN,Satyanarayana Kaikala,M,TDP,275713,Kolusu Pedareddaiah Yadav,M,INC,194206,81507,1996
12,Andhra Pradesh,Vijayawada,GEN,Upendra Parvathaneni,M,INC,397709,Vadde Sobhanadreeswara Rao,M,TDP,283435,114274,1996
13,Andhra Pradesh,Tenali,GEN,Sarada Tadiparthi,M,TDP,274244,Singam Basavapunaiah,M,INC,237756,36488,1996
14,Andhra Pradesh,Guntur,GEN,Rayapati Samba Siva Rao,M,INC,343252,Lal Jan Basha S.M.,M,TDP,274753,68499,1996
15,Andhra Pradesh,Bapatla,GEN,Ummareddy Venkateswarlu,M,TDP,276064,Vijaya Prad Arya,M,INC,267802,8262,1996
16,Andhra Pradesh,Narasaraopet,GEN,Saidaiah Kota,M,TDP,316360,K. V. Krishna Reddy,M,INC,297402,18958,1996
17,Andhra Pradesh,Ongole,GEN,Parvathamma Magunta,M,INC,381475,Rajamohan Reddy M.,M,TDP,331415,50060,1996
18,Andhra Pradesh,Nellore,SC,Panabaka Lakshmi,F,INC,269498,Tummallagunta Prapancha Bhanu Raju,M,CPI,201313,68185,1996
19,Andhra Pradesh,Tirupati,SC,Nelavala Subrahmanyam,M,INC,344738,Gali Rajasree,F,TDP,292406,52332,1996
20,Andhra Pradesh,Chittoor,GEN,N.Ramakrishna Reddy,M,TDP,405052,Audikesavulu D.K,M,INC,343702,61350,1996
21,Andhra Pradesh,Rajampet,GEN,Annaiahgari Sai Prathap,M,INC,280557,Pothuraju Prathap,M,TDP,230165,50392,1996
22,Andhra Pradesh,Kadapa,GEN,Rajasekhara Reddy Y.S,M,INC,368611,Kandula Raja Mohana Reddy,M,TDP,363166,5445,1996
23,Andhra Pradesh,Hindupur,GEN,S.Ramachandra Reddy,M,TDP,353880,S.Gangadhar,M,INC,181458,172422,1996
24,Andhra Pradesh,Anantapur,GEN,Anantha Venkatarami Reddy,M,INC,284845,R.Rangappa,M,CPI,205986,78859,1996
25,Andhra Pradesh,Kurnool,GEN,Kotla Vijaya Bhaskara Reddy,M,INC,323208,S.V.Subba Reddy,M,TDP,290389,32819,1996
26,Andhra Pradesh,Nandyal,GEN,P.V.Narasimha Rao,M,INC,366431,Bhuma Venkata Nagi Reddy,M,TDP,267901,98530,1996
27,Andhra Pradesh,Nandyal,GEN,Bhuma Nagi Reddy,M,TDP,567042,P.V. Rangayya Naidu,M,INC,126892,440150,1996
28,Andhra Pradesh,Nagarkurnool,SC,M. Jagannath,M,TDP,368134,Mallu Ravi,F,INC,291759,76375,1996
29,Andhra Pradesh,Mahabubnagar,GEN,Mallikarjun,M,INC,259875,D.K. Aruna,M,TDP,254377,5498,1996
30,Andhra Pradesh,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,AIMIM,321045,M. Venkaiah Naidu,M,BJP,247772,73273,1996
