,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andhra Pradesh,1,Srikakulam,GEN,Yerrannaidu Kinjarapu,M,TDP,373851,Kanithi Viswanadaham,M,INC,276969,96882,1999
1,1,Andhra Pradesh,2,Parvathipuram,ST,Dadichiluka Veera Gouri Sankara Rao,M,TDP,304000,Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,290719,13281,1999
2,2,Andhra Pradesh,3,Bobbili,GEN,Botcha Satyanarayana,M,INC,339768,Aruna Padala,M,TDP,335947,3821,1999
3,3,Andhra Pradesh,4,Visakhapatnam,GEN,M.V.V.S.Murthy,M,TDP,442036,T.Subbarami Reddy,M,INC,403117,38919,1999
4,4,Andhra Pradesh,5,Bhadrachalam,ST,Dumpa Mary Vijaya Kumari,F,TDP,293593,T.Ratnabai,M,INC,256490,37103,1999
5,5,Andhra Pradesh,6,Anakapalli,GEN,Ganta Srinivasa Rao,M,TDP,392984,Gurunadha Rao Gudivada,M,INC,334520,58464,1999
6,6,Andhra Pradesh,7,Kakinada,GEN,Mudragada Padmanabham,M,TDP,435811,Thota Subbarao,M,INC,314376,121435,1999
7,7,Andhra Pradesh,8,Rajahmundry,GEN,Satyanarayana Rao S.B.P.B.K,M,BJP,411956,Chitturi Ravindra,M,INC,351925,60031,1999
8,8,Andhra Pradesh,9,Amalapuram,SC,Ganti Mohanachandra Balayogi,M,TDP,368476,Gollapalli Suryarao,M,INC,249597,118879,1999
9,9,Andhra Pradesh,By Polls (2002),Amalapuram,GEN,Ganti Vijayakumari,F,TDP,341923,J.B.Raju,M,BSP,28263,313660,1999
10,10,Andhra Pradesh,10,Narsapuram,GEN,Uppalapati Venkata Krishnam Raju,M,BJP,421099,Kanumuru Bapiraju,M,INC,255151,165948,1999
11,11,Andhra Pradesh,11,Eluru,GEN,Bolla Bulli Ramaiah,M,TDP,435884,Maganti Venkateswara Rao (Babu),M,INC,373653,62231,1999
12,12,Andhra Pradesh,12,Machilipatnam,GEN,Ambati Brahmanaiah,M,TDP,387533,Kavuru Sambasiva Rao,M,INC,304537,82996,1999
13,13,Andhra Pradesh,13,Vijayawada,GEN,Gadde Rama Mohan,M,TDP,482968,Upendra Parvathaneni,M,INC,395902,87066,1999
14,14,Andhra Pradesh,14,Tenali,GEN,Ummareddy Venkateswarlu,M,TDP,339800,P.Shiv Shanker,M,INC,266771,73029,1999
15,15,Andhra Pradesh,15,Guntur,GEN,Yemparala Venkateswararao,M,TDP,399065,Rayapati Sambasiva Rao,M,INC,358735,40330,1999
16,16,Andhra Pradesh,16,Bapatla,GEN,D. Rama Naidu,M,TDP,399596,Jesudasu Seelam,M,INC,307139,92457,1999
17,17,Andhra Pradesh,17,Narasaraopet,GEN,Janardhanareddy Nedurumalli,M,INC,432266,Lal Janbasha S.M,M,TDP,418384,13882,1999
18,18,Andhra Pradesh,18,Ongole,GEN,Karanam Balarama Krishna Murthy,M,TDP,392840,Sreenivasulu Reddy Magunta,M,INC,370892,21948,1999
19,19,Andhra Pradesh,19,Nellore,SC,Rajeswaramma Vukkala,F,TDP,381166,Panabaka  Lakshmi,M,INC,340713,40453,1999
20,20,Andhra Pradesh,20,Tirupati,SC,Dr.N.Venkataswamy,M,BJP,386478,Chintha Mohan,M,INC,373981,12497,1999
21,21,Andhra Pradesh,21,Chittoor,GEN,Noothana Kalva Ramakrishna Reddy,M,TDP,419208,R. Gopinath,M,INC,400570,18638,1999
22,22,Andhra Pradesh,22,Rajampet,GEN,Gunipati Ramaiah,M,TDP,322107,Annaiahgari Saiprathap,M,INC,294937,27170,1999
23,23,Andhra Pradesh,23,Cuddapah,GEN,Vivekananda Reddy  Y.S.,M,INC,367833,Kandula Rajamohan Reddy,M,TDP,341236,26597,1999
24,24,Andhra Pradesh,24,Hindupur,GEN,B.K. Parthasarathi,M,TDP,432575,S. Gangadhar,M,INC,297939,134636,1999
25,25,Andhra Pradesh,25,Anantapur,GEN,Kalava Srinivasulu,M,TDP,378488,Anantha Venkata Rami Reddy,M,INC,357386,21102,1999
26,26,Andhra Pradesh,26,Kurnool,GEN,Kambhalapati E. Krishna Murthy,M,TDP,385688,Kotla Vijaya Bhaskara Reddy,M,INC,361201,24487,1999
27,27,Andhra Pradesh,27,Nandyal,GEN,Bhuma  Nagi Reddy,M,TDP,391655,Gangula Prathapa Reddy,M,INC,319046,72609,1999
28,28,Andhra Pradesh,28,Nagarkurnool,SC,Dr.Manda Jagannath,M,TDP,431095,Dr.Mallu Ravi,M,INC,364195,66900,1999
29,29,Andhra Pradesh,29,Mahabubnagar,GEN,A.P.Jitender Reddy,M,BJP,391588,Dr.Mallikarjun,M,INC,340693,50895,1999
30,30,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,AIMIM,448165,Baddam Bal Reddy,M,BJP,387344,60821,1999
31,31,Andhra Pradesh,31,Secunderabad,GEN,Bandaru Dattatraya,M,BJP,506626,Nadendla Bhaskara Rao,M,INC,409000,97626,1999
32,32,Andhra Pradesh,32,Siddipet,SC,M. Rajaiah,M,TDP,583346,Yellaiah Nandi,M,INC,429625,153721,1999
33,33,Andhra Pradesh,33,Medak,GEN,A. Narendra,M,BJP,400244,M. Baga Reddy,M,INC,378161,22083,1999
34,34,Andhra Pradesh,34,Nizamabad,GEN,Ganga Reddy Gaddam,M,TDP,373260,S.Santosh Reddy,M,INC,369824,3436,1999
35,35,Andhra Pradesh,35,Adilabad,GEN,Dr. S. Venugopal Chary,M,TDP,390308,Mohd. Sultan Ahmad,M,INC,280585,109723,1999
36,36,Andhra Pradesh,36,Peddapalli,SC,Dr.Smt.C. Suguna Kumari,F,TDP,406529,G.Venkat Swamy,M,INC,390640,15889,1999
37,37,Andhra Pradesh,37,Karimnagar,GEN,Chennamaneni Vidyasagar Rao,M,BJP,398437,Anand Rao Chelimeda,M,INC,379067,19370,1999
38,38,Andhra Pradesh,38,Hanamkonda,GEN,Chada Suresh Reddy,M,TDP,375285,M.Kamaluddin Ahmed,M,INC,289504,85781,1999
39,39,Andhra Pradesh,39,Warangal,GEN,Bodakunti Venkateshwarlu,M,TDP,385593,Dr. T. Kalpanadevi,M,INC,372227,13366,1999
40,40,Andhra Pradesh,40,Khammam,GEN,Renuka Chowdhury,F,INC,328596,Baby Swarna Kumari Maddineni,M,TDP,320198,8398,1999
41,41,Andhra Pradesh,41,Nalgonda,GEN,Gutha Sukender Reddy,M,TDP,427505,Kanukula Janardhan Reddy,M,INC,347770,79735,1999
42,42,Andhra Pradesh,42,Miryalguda,GEN,Jaipal Reddy Sudini,M,INC,401437,Rangashai Reddy Yadevelli,M,TDP,349360,52077,1999
43,43,Arunachal Pradesh,1,Arunachal West,GEN,Jarbom Gamlin,M,INC,131483,Omak Apang,M,AC,70760,60723,1999
44,44,Arunachal Pradesh,2,Arunachal East,GEN,Wangcha Rajkumar,M,INC,110792,Tapir Gao,M,BJP,69389,41403,1999
45,45,Assam,1,Karimganj,SC,Nepal Chandra Das,M,INC,336799,Parimal Suklabaidya,M,BJP,294540,42259,1999
46,46,Assam,2,Silchar,GEN,Sontosh Mohan Dev,M,INC,329256,Kabindra Purkayastha,M,BJP,221504,107752,1999
47,47,Assam,3,Autonomous District,ST,Dr Jayanta Rongpi,M,CPI(ML)(L),208789,Biren Singh Engti,M,INC,148914,59875,1999
48,48,Assam,4,Dhubri,GEN,Abdul Hamid,M,INC,279812,DR Pannalal Oswal,M,BJP,258472,21340,1999
49,49,Assam,5,Kokrajhar,ST,Sansuma Khunggur Bwismuthiary,M,IND,334367,Theodore Kisku Rapaz,M,URMCA,246942,87425,1999
50,50,Assam,6,Barpeta,GEN,A F Golam Osmani,M,INC,325838,Ramani Kanta Deka,M,BJP,236476,89362,1999
51,51,Assam,7,Gauhati,GEN,Bijoya Chakravarty,F,BJP,384771,Bhubaneswar Kalita,M,INC,309533,75238,1999
52,52,Assam,8,Mangaldoi,GEN,Madhab Rajbangshi,M,INC,283749,Munindra Singha Lahkar,M,BJP,267315,16434,1999
53,53,Assam,9,Tezpur,GEN,Moni Kumar Subba,M,INC,230884,Ram Prasad Sarmah,M,BJP,205178,25706,1999
54,54,Assam,10,Nowgong,GEN,Rajen Gohain,M,BJP,328861,Nripen Goswami,M,INC,293433,35428,1999
55,55,Assam,11,Kaliabor,GEN,Tarun Gogoi,M,INC,373542,Keshab Mahanta,M,AGP,206150,167392,1999
56,56,Assam,By Polls (2002),Kaliabor,GEN,Dip Gogoi,M,INC,300613,Thagi Gogoi,M,BJP,132480,168133,1999
57,57,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,M,INC,304690,Janaki Nath Handique,M,BJP,205330,99360,1999
58,58,Assam,13,Dibrugarh,GEN,Paban Singh Ghatowar,M,INC,270863,Ajit  Chaliha,M,BJP,203747,67116,1999
59,59,Assam,14,Lakhimpur,GEN,Ranee Narah,F,INC,255925,Sarbananda Sonowal,M,AGP,201402,54523,1999
