,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,90969,Kuldeep Rai Sharma,INC,83157,7812,2014
1,1,Andhra Pradesh,1,Araku,ST,Kothapalli Geetha,YSRC,413191,Gummidi Sandhyarani,TDP,321793,91398,2014
2,2,Andhra Pradesh,2,Srikakulam,GEN,Rammohan Naidu Kinjarapu,TDP,556163,Reddy Shanthi,YSRC,428591,127572,2014
3,3,Andhra Pradesh,3,Vizianagaram,GEN,Ashok Gajapathi Raju Pusapati,TDP,536549,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,YSRC,429638,106911,2014
4,4,Andhra Pradesh,4,Visakhapatnam,GEN,Kambhampati Hari Babu,BJP,566832,Y.S Vijayamma,YSRC,476344,90488,2014
5,5,Andhra Pradesh,5,Anakapalli,GEN,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463,Gudivada Amarnadh,YSRC,520531,47932,2014
6,6,Andhra Pradesh,6,Kakinada,GEN,Thota Narasimham,TDP,514402,Chalamalasetty Sunil,YSRC,510971,3431,2014
7,7,Andhra Pradesh,7,Amalapuram,SC,Dr Pandula Ravindra Babu,TDP,594547,Pinipe Viswarupu,YSRC,473971,120576,2014
8,8,Andhra Pradesh,8,Rajahmundry,GEN,Murali Mohan Maganti,TDP,630573,Boddu Venkataramana Chowdary,YSRC,463139,167434,2014
9,9,Andhra Pradesh,9,Narsapuram,GEN,Gokaraju Ganga Raju,BJP,540306,Vanka Ravindranath,YSRC,454955,85351,2014
10,10,Andhra Pradesh,10,Eluru,GEN,Maganti Venkateswara Rao (Babu),TDP,623471,Thota Chandra Sekhar,YSRC,521545,101926,2014
11,11,Andhra Pradesh,11,Machilipatnam,GEN,Konakalla Narayana Rao,TDP,587280,Kolusu Partha Sarathy,YSRC,506223,81057,2014
12,12,Andhra Pradesh,12,Vijayawada,GEN,Kesineni Srinivas,TDP,592696,Koneru Rajendra Prasad,YSRC,517834,74862,2014
13,13,Andhra Pradesh,13,Guntur,GEN,Jayadev Galla,TDP,618417,Balashowry Vallabhaneni,YSRC,549306,69111,2014
