,Unnamed: 0,No.,State,Name,Type,Candidate,Winner Party,Winner's Votes,Winning Percentage,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up Percentage,Margin,Margin %
0,0,1,Andaman And Nicobar Islands,Andaman And Nicobar Islands,GEN,Kuldeep Rai Sharma,INC,95308,45.95,Vishal Jolly,Bharatiya Janata Party,93901,45.28,1407,0.6700000000000017
1,1,1,Andhra Pradesh,Araku,ST,Goddeti Madhavi,YSRCP,562190,52.14,Kishore Chandra Deo,TDP,338101,31.36,224089,20.78
2,2,2,Andhra Pradesh,Srikakulam,GEN,Ram Mohan Naidu Kinjarapu,TDP,534544,45.91,Duvvada Srinivas,YSRCP,527891,45.34,6653,0.5699999999999932
3,3,3,Andhra Pradesh,Vizianagaram,GEN,Bellana Chandra Sekhar,YSRCP,578418,47.32,Ashok Gajapathi Raju,TDP,530382,43.39,48036,3.93
4,4,4,Andhra Pradesh,Visakhapatnam,GEN,M. V. V. Satyanarayana,YSRCP,436906,35.24,Bharat Mathukumilli,TDP,432492,34.88,4414,0.3599999999999994
5,5,5,Andhra Pradesh,Anakapalli,GEN,Beesetti Venkata Satyavathi,YSRCP,586226,47.26,Aadari Anand,TDP,497034,40.07,89192,7.189999999999998
6,6,6,Andhra Pradesh,Kakinada,GEN,Vanga Geetha,YSRCP,537630,43.47,Chalamalasetti Sunil,TDP,511892,41.39,25738,2.0799999999999983
7,7,7,Andhra Pradesh,Amalapuram,SC,Chinta Anuradha,YSRCP,485958,39.34,Ganti Harish,TDP,446163,36.12,39966,3.220000000000006
8,8,8,Andhra Pradesh,Rajahmundry,GEN,Margani Bharat,YSRCP,582024,46.54,Maganti Rupa,TDP,460390,36.82,121634,9.72
9,9,9,Andhra Pradesh,Narsapuram,GEN,Raghu Rama Krishna Raju,YSRCP,449234,38.1,Vetukuri Venkata Siva Rama Raju,TDP,416558,35.33,31909,2.770000000000003
10,10,10,Andhra Pradesh,Eluru,GEN,Kotagiri Sridhar,YSRCP,676809,50.8,Maganti Venkateswara Rao,TDP,510884,38.35,165925,12.449999999999996
11,11,11,Andhra Pradesh,Machilipatnam,GEN,Vallabhaneni Balasouri,YSRCP,572850,45.99,Konakalla Narayana Rao,TDP,512612,41.16,60141,4.830000000000005
12,12,12,Andhra Pradesh,Vijayawada,GEN,Kesineni Srinivas,TDP,575498,45.04,Prasad V. Potluri,YSR Congress Party,566772,44.36,8726,0.6799999999999997
13,13,13,Andhra Pradesh,Guntur,GEN,Galla Jayadev,TDP,587918,43.5,Modugula Venugopala Reddy,YSR Congress Party,583713,43.19,4205,0.3100000000000023
14,14,14,Andhra Pradesh,Narasaraopet,GEN,Lavu Sri Krishna Devarayalu,YSRCP,745557,51.75,Rayapati Sambasiva Rao,TDP,591555,41.06,153978,10.689999999999998
15,15,15,Andhra Pradesh,Bapatla,SC,Nandigam Suresh,YSRCP,598257,47.11,Malyadri Sriram,TDP,582192,45.84,16065,1.269999999999996
16,16,16,Andhra Pradesh,Ongole,GEN,Magunta Sreenivasulu Reddy,YSRCP,739202,55.0,Sidda Raghava Rao,TDP,524351,39.01,214851,15.990000000000002
17,17,17,Andhra Pradesh,Nandyal,GEN,Pocha Brahmananda Reddy,YSRCP,720888,55.46,Mandra Sivananda Reddy,TDP,470769,36.22,250119,19.24
18,18,18,Andhra Pradesh,Kurnool,GEN,Sanjeev Kumar,YSRCP,605462,50.85,Kotla Jayasurya Prakasha Reddy,TDP,456395,38.33,148889,12.520000000000003
19,19,19,Andhra Pradesh,Anantapur,GEN,Tallari Rangaiah,YSRCP,695208,51.57,JC Pavan Reddy,TDP,553780,41.08,141428,10.490000000000002
20,20,20,Andhra Pradesh,Hindupur,GEN,Kuruva Gorantla Madhav,YSRCP,706602,52.73,Kristappa Nimmala,TDP,565854,42.33,140748,10.4
21,21,21,Andhra Pradesh,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,783499,63.41,Adi Narayana Reddy,TDP,402773,32.6,380976,30.809999999999995
22,22,22,Andhra Pradesh,Nellore,GEN,Adala Prabhakara Reddy,YSRCP,683830,53.04,Beeda Masthan Rao,TDP,535259,41.52,148571,11.519999999999996
23,23,23,Andhra Pradesh,Tirupati,SC,Balli Durga Prasad Rao,YSRCP,722877,54.91,Panabaka Lakshmi,TDP,494501,37.56,228376,17.349999999999994
24,24,24,Andhra Pradesh,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,702211,57.27,D K Satyaprabha,TDP,433927,35.39,268284,21.880000000000003
25,25,25,Andhra Pradesh,Chittoor,SC,N. Reddeppa,YSRCP,686792,52.04,Naramalli Sivaprasad,TDP,549521,41.64,137271,10.4
26,26,1,Arunachal Pradesh,Arunachal West,ST,Kiren Rijiju,Bharatiya Janata Party,225796,62.02,Nabam Tuki,INC,50953,14.0,174843,48.02
27,27,2,Arunachal Pradesh,Arunachal East,ST,Tapir Gao,Bharatiya Janata Party,153883,52.04,Lowangcha Wanglat,INC,83935,28.38,69948,23.66
