,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
0,Andhra Pradesh,Srikakulam,OC,Kinjarapu Ram Mohan Naidu,TDP,61,754328,Perada Tilak,YSRCP,34,426427,26,327901
1,Andhra Pradesh,Vizianagaram,OC,Appalanaidu Kalisetti,TDP,57,743113,Bellana Chandra Sekhar,YSRCP,38,493762,19,249351
2,Andhra Pradesh,Visakhapatnam,OC,Mathukumilli Bharat,TDP,65,907467,Botsa Jhansi Lakshmi,YSRCP,29,403220,36,504247
3,Andhra Pradesh,Anakapalli,OC,C. M. Ramesh,BJP,57,762069,Budi Mutyala Naidu,YSRCP,35,465539,22,296530
4,Andhra Pradesh,Kakinada,OC,Tangella Uday Srinivas,JSP,54,729699,Chalamalasetti Sunil,YSRCP,37,500208,17,229491
5,Andhra Pradesh,Amalapuram,SC,Ganti Harish Madhur,TDP,61,796981,Rapaka Vara Prasada Rao,YSRCP,34,454785,26,342196
6,Andhra Pradesh,Rajahmundry,OC,Daggubati Purandeswari,BJP,54,726515,Guduri Srinivas,YSRCP,36,487376,18,239139
7,Andhra Pradesh,Narasapuram,OC,Bhupathi Raju Srinivasa Varma,BJP,57,707343,Guduri Umabala,YSRCP,34,430541,22,276802
8,Andhra Pradesh,Eluru,OC,Putta Mahesh Yadav,TDP,54,746351,Karumuri Sunilkumar Yadav,YSRCP,40,564494,13,181857
9,Andhra Pradesh,Machilipatnam,OC,Vallabhaneni Balashowry,JSP,55,724439,Simhadri Chandrasekhar Rao,YSRCP,38,501260,17,223179
10,Andhra Pradesh,Vijayawada,OC,Kesineni Sivanath,TDP,58,794154,Kesineni Srinivas,YSRCP,37,512069,20,282085
11,Andhra Pradesh,Guntur,OC,Chandra Sekhar Pemmasani,TDP,60,864948,Kilari Venkata Rosaiah,YSRCP,36,520253,24,344695
12,Andhra Pradesh,Narasaraopet,OC,Lavu Sri Krishna Devarayalu,TDP,53,807996,Poluboina Anilkumar Yadav,YSRCP,43,648267,10,159729
13,Andhra Pradesh,Bapatla,SC,Krishna Prasad Tenneti,TDP,55,717493,Nandigam Suresh,YSRCP,39,509462,15,208031
14,Andhra Pradesh,Ongole,OC,Magunta Sreenivasulu Reddy,TDP,49,701894,Chevireddy Bhaskar Reddy,YSRCP,45,651695,3,50199
15,Andhra Pradesh,Nandyal,OC,Byreddy Shabari,TDP,49,701131,Pocha Brahmananda Reddy,YSRCP,41,589156,7,111975
16,Andhra Pradesh,Kurnool,OC,Bastipati Nagaraju Panchalingala,TDP,49,658914,B. Y. Ramaiah,YSRCP,41,547616,8,111298
17,Andhra Pradesh,Anantapur,OC,Ambica G Lakshminarayana Valmiki,TDP,53,768245,Malagundla Sankaranarayana,YSRCP,40,579690,13,188555
18,Andhra Pradesh,Hindupur,OC,B. K. Parthasarathi,TDP,51,725534,J. Shantha,YSRCP,41,593107,9,132427
19,Andhra Pradesh,Kadapa,OC,Y. S. Avinash Reddy,YSRCP,45,605143,Chadipiralla Bhupesh Reddy,TDP,41,542448,4,62995
20,Andhra Pradesh,Nellore,OC,Vemireddy Prabhakar Reddy,TDP,55,766202,V. Vijaysai Reddy,YSRCP,37,520300,17,245902
21,Andhra Pradesh,Tirupati,SC,Maddila Gurumoorthy,YSRCP,46,632228,Velagapalli Varaprasad Rao,BJP,44,617659,1,14569
22,Andhra Pradesh,Rajampet,OC,P. V. Midhun Reddy,YSRCP,48,644844,Kiran Kumar Reddy,BJP,42,568773,5,76071
23,Andhra Pradesh,Chittoor,SC,Daggumalla Prasada Rao,TDP,54,778071,N. Reddeppa,YSRCP,39,557592,15,220479
24,Arunachal Pradesh,Arunachal East,ST,Tapir Gao,BJP,45,145581,Bosiram Siram,INC,35,115160,9,30421
25,Assam,Dhubri,OC,Rakibul Hussain,INC,60,1471885,Mohammed Badruddin Ajmal,AIUDF,18,459409,41,1012476
26,Assam,Barpeta,OC,Phani Bhusan Choudhury,AGP,51,860113,Deep Bayan,INC,37,637762,13,222351
27,Assam,Darrang–Udalguri,OC,Dilip Saikia,BJP,47,868387,Madhab Rajbangshi,INC,29,539375,18,329012
28,Assam,Guwahati,OC,Bijuli Kalita Medhi,BJP,56,894887,Mira Borthakur Goswami,INC,40,643797,15,251090
29,Assam,Diphu,ST,Amarsing Tisso,BJP,49,334620,J.I. Kathar,IND,27,187017,22,147603
30,Assam,Karimganj,OC,Kripanath Mallah,BJP,47,545093,Hafiz Rashid Ahmed Choudhury,INC,45,526733,1,18360
31,Assam,Silchar,SC,Parimal Suklabaidya,BJP,59,652405,Surya Kanta Sarkar,INC,35,388094,24,264311
32,Assam,Nagaon,OC,Pradyut Bordoloi,INC,50,788850,Suresh Borah,BJP,37,576619,13,212231
33,Assam,Kaziranga,OC,Kamakhya Prasad Tasa,BJP,55,897043,Roselina Tirkey,INC,39,648096,15,248947
34,Assam,Sonitpur,OC,Ranjit Dutta,BJP,60,775788,Premlal Ganju,INC,32,414380,28,361408
35,Assam,Lakhimpur,OC,Pradan Baruah,BJP,54,663122,Uday Shankar Hazarika,INC,38,461865,16,201257
36,Assam,Dibrugarh,OC,Sarbananda Sonowal,BJP,54,693762,Lurinjyoti Gogoi,AJP,32,414441,21,279321
37,Assam,Jorhat,OC,Gaurav Gogoi,INC,54,751771,Topon Kumar Gogoi,BJP,43,607378,10,144393
38,Bihar,Paschim Champaran,OC,Sanjay Jaiswal,BJP,53,580421,Madan Mohan Tiwari,INC,40,443853,12,136568
39,Bihar,Purvi Champaran,OC,Radha Mohan Singh,BJP,50,542193,Dr. Rajesh Kumar,VIP,42,453906,8,88287
40,Bihar,Sheohar,OC,Lovely Anand,JD(U),45,476612,Ritu Jaiswal,RJD,42,447469,2,29143
41,Bihar,Sitamarhi,OC,Devesh Chandra Thakur,JD(U),47,515719,Arjun Ray,RJD,42,464363,4,51356
42,Bihar,Madhubani,OC,Ashok Kumar Yadav,BJP,53,553428,Mohammad Ali Ashraf Fatmi,RJD,39,401483,14,151945
43,Bihar,Jhanjharpur,OC,Ramprit Mandal,JD(U),48,533032,Suman Kumar Mahaseth,VIP,31,348863,16,184169
44,Bihar,Supaul,OC,Dileshwar Kamait,JD(U),48,595038,Chandrahas Chaupal,RJD,34,425235,13,169803
45,Bihar,Araria,OC,Pradeep Kumar Singh,BJP,47,600146,Mohammed Shahnawaz Alam,RJD,46,580052,1,20094
46,Bihar,Kishanganj,OC,Mohammad Jawed,INC,35,402850,Mujahid Alam,JD(U),29,343158,5,59692
47,Bihar,Katihar,OC,Tariq Anwar,INC,48,567092,Dulal Chandra Goswami,JD(U),44,517229,4,49863
48,Bihar,Purnia,OC,Pappu Yadav,Independent,47,567556,Santosh Kumar,JD(U),45,543709,1,23847
49,Bihar,Madhepura,OC,Dinesh Chandra Yadav,JD(U),52,640649,Da Kumar Chandradeep,RJD,38,466115,14,174534
50,Bihar,Darbhanga,OC,Gopal Jee Thakur,BJP,55,566630,Lalit Kumar Yadav,RJD,37,388474,17,178156
51,Bihar,Muzaffarpur,OC,Raj Bhushan Choudhary,BJP,55,619749,Ajay Nishad,INC,34,384822,21,234927
52,Bihar,Vaishali,OC,Veena Devi,LJP(RV),48,567043,Vijay Kumar Shukla,RJD,40,477409,7,89634
53,Bihar,Gopalganj,SC,Alok Kumar Suman,JD(U),48,511866,Prem Nath Chanchal Alias Chanchal Paswan,VIP,36,384686,11,127180
54,Bihar,Siwan,OC,Vijay Lakshmi Devi,JD(U),38,386508,Hena Shahab,Independent,29,293651,9,92857
55,Uttar Pradesh,Maharajganj,OC,Janardan Singh Sigriwal,BJP,52,529533,Aakash Kumar Singh,INC,42,426882,10,102651
56,Bihar,Saran,OC,Rajiv Pratap Rudy,BJP,46,471752,Rohini Acharya,RJD,44,458091,1,13661
57,Bihar,Hajipur,SC,Chirag Paswan,LJP(RV),53,615718,Shiv Chandra Ram,RJD,38,445613,14,170105
58,Bihar,Ujiarpur,OC,Nityanand Rai,BJP,49,515965,Alok Kumar Mehta,RJD,43,455863,5,60102
59,Bihar,Samastipur,SC,Shambhavi,LJP(RV),52,579786,Sunny Hazari,INC,35,392535,17,187251
60,Bihar,Begusarai,OC,Giriraj Singh,BJP,50,649331,Abdhesh Kumar Roy,CPI,43,567851,6,81480
61,Bihar,Khagaria,OC,Rajesh Verma,LJP(RV),50,538657,Sanjay Kumar,CPI(M),35,377526,15,161131
62,Bihar,Bhagalpur,OC,Ajay Kumar Mandal,JD(U),50,536031,Ajeet Sharma,INC,40,431163,9,104868
63,Bihar,Banka,OC,Giridhari Yadav,JD(U),49,506678,Jai Prakash Narayan Yadav,RJD,39,402834,10,103834
